word,score,topic
network,8.926917984,0
service,2.643997567,0
address,2.205134151,0
ip,2.047498334,0
traffic,1.962876217,0
protocol,1.580338301,0
information,1.528437995,0
message,1.410311033,0
method,1.375552198,0
interface,1.367414043,0
routing,1.363613293,0
virtual,1.334501617,0
connection,1.325981098,0
switch,1.318060051,0
user,1.228637058,0
router,1.187563756,0
server,1.186933489,0
element,1.131635434,0
gateway,1.124130915,0
multicast,1.08914445,0
channel,5.521800276,1
signal,5.234926598,1
transmission,2.787128346,1
control,2.77914302,1
information,2.425598472,1
frequency,2.251185058,1
uplink,2.015982091,1
time,1.956694721,1
downlink,1.764986958,1
signals,1.749047459,1
resource,1.734464661,1
method,1.728168889,1
power,1.692962251,1
transmitting,1.485383414,1
frame,1.38198081,1
carrier,1.363829103,1
second,1.291213971,1
user,1.243468999,1
plurality,1.24038329,1
reference,1.228915282,1
packet,11.16738928,2
packets,3.23753983,2
header,1.15102124,2
destination,1.113262499,2
processing,1.091919989,2
port,1.040105526,2
flow,0.957486364,2
received,0.893095001,2
switch,0.854994353,2
forwarding,0.78807481,2
queue,0.773519154,2
address,0.765138979,2
buffer,0.624053963,2
memory,0.575432878,2
source,0.573415699,2
time,0.549715732,2
based,0.542905022,2
value,0.533497917,2
includes,0.524999386,2
table,0.496425766,2
node,10.7823851,3
nodes,3.552878351,3
path,1.294077508,3
second,1.242064756,3
message,0.911383213,3
source,0.878441125,3
destination,0.843200844,3
relay,0.691148654,3
network,0.668088081,3
link,0.613175292,3
routing,0.5736058,3
route,0.566722555,3
mobile,0.505359475,3
intermediate,0.430794902,3
method,0.397600067,3
information,0.359483366,3
plurality,0.340278524,3
neighbor,0.338936508,3
ring,0.33187496,3
time,0.331164198,3
station,9.027924757,4
base,6.4273891,4
mobile,4.315334405,4
stations,1.856736944,4
radio,1.274089131,4
relay,0.87413227,4
terminal,0.777695048,4
cell,0.651312392,4
message,0.640005734,4
uplink,0.623042604,4
handover,0.610705315,4
information,0.591630643,4
downlink,0.472777245,4
transmits,0.434475154,4
serving,0.426404774,4
subscriber,0.402560322,4
resource,0.385527392,4
method,0.329976141,4
request,0.314307989,4
target,0.311162621,4
